Posición,Equipo,Jugados,Ganados,Empatados,Perdidos,Goles a Favor,Goles en Contra,Diferencia de Goles,Puntos
1,Real Madrid CF,20,14,4,2,47,20,27,46
2,Club Atlético de Madrid,20,13,5,2,34,13,21,44
3,FC Barcelona,20,12,3,5,52,23,29,39
4,Athletic Club,20,11,6,3,31,18,13,39
5,Villarreal CF,19,8,6,5,34,31,3,30
6,RCD Mallorca,19,9,3,7,19,21,-2,30
7,Real Sociedad de Fútbol,20,8,4,8,17,14,3,28
8,Girona FC,20,8,4,8,28,27,1,28
9,Rayo Vallecano de Madrid,20,6,8,6,23,23,0,26
10,CA Osasuna,20,6,8,6,24,29,-5,26
11,Sevilla FC,20,7,5,8,23,29,-6,26
12,Real Betis Balompié,20,6,7,7,22,26,-4,25
13,RC Celta de Vigo,20,7,3,10,29,32,-3,24
14,UD Las Palmas,20,6,4,10,25,33,-8,22
15,CD Leganés,20,5,7,8,19,29,-10,22
16,Getafe CF,20,4,8,8,14,17,-3,20
17,Deportivo Alavés,20,5,5,10,24,32,-8,20
18,RCD Espanyol de Barcelona,20,5,4,11,19,32,-13,19
19,Valencia CF,20,3,7,10,19,29,-10,16
20,Real Valladolid CF,20,4,3,13,14,39,-25,15
