Posición,Equipo,Jugados,Ganados,Empatados,Perdidos,Goles a Favor,Goles en Contra,Diferencia de Goles,Puntos
1,FC Barcelona,18,12,2,4,50,20,30,38
2,Club Atlético de Madrid,17,11,5,1,31,11,20,38
3,Real Madrid CF,17,11,4,2,37,16,21,37
4,Athletic Club,18,9,6,3,27,16,11,33
5,RCD Mallorca,18,8,3,7,18,21,-3,27
6,Villarreal CF,16,7,5,4,28,27,1,26
7,Real Sociedad de Fútbol,17,7,4,6,16,11,5,25
8,CA Osasuna,17,6,7,4,22,25,-3,25
9,Real Betis Balompié,17,6,6,5,20,21,-1,24
10,Girona FC,17,6,4,7,23,25,-2,22
11,Sevilla FC,17,6,4,7,18,23,-5,22
12,RC Celta de Vigo,17,6,3,8,25,28,-3,21
13,Rayo Vallecano de Madrid,16,5,5,6,18,19,-1,20
14,UD Las Palmas,17,5,4,8,22,27,-5,19
15,CD Leganés,17,4,6,7,15,23,-8,18
16,Getafe CF,17,3,7,7,11,14,-3,16
17,Deportivo Alavés,17,4,4,9,19,28,-9,16
18,RCD Espanyol de Barcelona,16,4,2,10,15,28,-13,14
19,Real Valladolid CF,17,3,3,11,12,34,-22,12
20,Valencia CF,15,2,4,9,13,23,-10,10
